aciklama,adres,tarih
2019 YLSY - Sözlü Sınava Çağrılmaya Hak Kazanan Adaylar Açıklanmıştır ,http://yyegm.meb.gov.tr/www/2019-ylsy-sozlu-sinava-cagrilmaya-hak-kazanan-adaylar-aciklanmistir/icerik/420,29/08/2019
OKULLARIN MOBİL (GSM) ŞEBEKESİ İLE GENİŞ BANT İNTERNETE ERİŞİM HİZMETİ ALIMINA AİT İHALE İLANI ,http://yegitek.meb.gov.tr/www/okullarin-mobil-gsm-sebekesi-ile-genis-bant-internete-erisim-hizmeti-alimina-ait-ihale-ilani/icerik/2807,11/10/2021
2019 YLSY BURS BAŞVURULARI HAKKINDA DUYURU (GÜNCELLENMİŞTİR) ,http://yyegm.meb.gov.tr/www/2019-ylsy-burs-basvurulari-hakkinda-duyuru-guncellenmistir/icerik/414,22/08/2019
2019 Yılı Öğretmenler Günü Genelgesi Yayınlandı ,http://oygm.meb.gov.tr/www/2019-yili-ogretmenler-gunu-genelgesi-yayinlandi/icerik/735,30/05/2019
2019 yılı Sınavla Öğrenci Alacak Ortaöğretim Kurumlarına İlişkin Merkezi Sınav Giriş Belgeleri Yayınlanmıştır ,/2019-yili-sinavla-ogrenci-alacak-ortaogretim-kurumlarina-iliskin-merkezi-sinav-giris-belgeleri-yayinlanmistir/duyuru/18704,22/05/2019
İtalya Hûkümeti Tarafından 2019-2020 Eğitim-Öğretim Yılı Bursları ,http://abdigm.meb.gov.tr/www/yabanci-hukumet-burslari-genel-sartlar/icerik/246,07/05/2019
16-18 Nisan 2019 Tarihlerinde Milli Eğitim Bakanlığı Sözleşmeli Bilişim Personeli Mülakat Sınavı Sonuçlarına İlişkin Duyuru ,http://personel.meb.gov.tr/www/16-18-nisan-2019-tarihlerinde-milli-egitim-bakanligi-sozlesmeli-bilisim-personeli-mulakat-sinavi-sonuclarina-iliskin-duyuru/icerik/940,22/04/2019
Sözleşmeli Öğretmenlik Sözlü Sınav Yeri Bilgileri (2019) ,https://www.meb.gov.tr/sinavlar/sonuc/sorgu.php?SINAV_ID=82FDD15195ACEB064A218D6EBBD446AD,05/04/2019
Sistem Bakım Çalışması ,/sistem-bakim-calismasi/duyuru/18466,19/04/2019
2019 - Yurt Dışında Görevlendirilecek Öğretim Üyesi/Öğretim Görevlisi/Okutman Temsil Yeteneği Mülakat Sonuçları ,http://abdigm.meb.gov.tr/abdigm/sinav/okutman_17042019/okutman_sonuc.aspx,17/04/2019
Merkez Ve Taşra Teşkilatı Şef Ve Memur Kadrolarına Görevde Yükselme Suretiyle Atama Başvuru Duyurusu ,http://personel.meb.gov.tr/www/merkez-ve-tasra-teskilati-sef-ve-memur-kadrolarina-gorevde-yukselme-suretiyle-atama-basvuru-duyurusu/icerik/938,09/04/2019
Romanya Hükûmeti Tarafından 2019-2020 Akademik Yılı İçin Burs Tahsis Edilmiştir. ,http://abdigm.meb.gov.tr/www/yabanci-hukumet-burslari-genel-sartlar/icerik/246,09/04/2019
2019 Yılı Sınavla Öğrenci Alacak Ortaöğretim Kurumlarına İlişkin Merkezî Sınav Başvuru Süresinin Uzatılmasına Dair Açıklama ,/2019-yili-sinavla-ogrenci-alacak-ortaogretim-kurumlarina-iliskin-merkez-sinav-basvuru-suresinin-uzatilmasina-dair-aciklama/duyuru/18426,15/04/2019
2019 Mart Sözleşmeli Öğretmen Atama Duyurusu ,http://personel.meb.gov.tr/www/2019-mart-sozlesmeli-ogretmen-atama-duyurusu/icerik/932,12/12/2019
Sözleşmeli Bilişim Personeli Başvuru İşlemi ,https://personel.meb.gov.tr/www/sozlesmeli-bilisim-personeli-basvuru-islemi/icerik/928,18/03/2019
Yurt Dışında Görevlendirilecek Öğretim Üyesi/Öğretim Görevlisi/Okutman Temsil Yeteneği Mülakat Takvimi-2019 ,http://abdigm.meb.gov.tr/ABDIGM/Sinav/okutman_08032019/okutman_Sonuc.aspx,08/03/2019
"""MEB 2018 Yılı İdare Faaliyet Raporu"" Yayınlanmıştır ",http://sgb.meb.gov.tr/www/quotmeb-2018-yili-idare-faaliyet-raporuquot-yayinlanmistir/icerik/343,28/02/2019
Eğitim Kurumlarına Yönetici Seçme Sınavı Duyurusu ,http://personel.meb.gov.tr/www/egitim-kurumlarina-yonetici-secme-sinavi-duyurusu/icerik/925,25/02/2019
2019 Yılı Sözleşmeli Öğretmen Alımına İlişkin Takvim ,http://personel.meb.gov.tr/www/2019-yili-sozlesmeli-ogretmen-alimina-iliskin-takvim/icerik/923,12/12/2019
Sözleşmeli Bilişim Personeli Alım İlanı ve Başvuru İşlemi ,http://personel.meb.gov.tr/www/sozlesmeli-bilisim-personeli-alim-ilani-ve-basvuru-islemi/icerik/920,18/03/2019
Uluslararası Yarışmalarda Derece Alan Öğrenciler ,http://ogm.meb.gov.tr/www/ekim-2016-tarihli-ve-2709-sayili-tebligler-dergisinde-yayinlanarak-yururluge-giren-mill-egitim-bakanligi-uluslararasi-yarismalarda-derece-alan-ogrencilerin-odullendirilmesine-dair-yonerge/icerik/769,15/02/2019
2019 Şubat Ayı İçerisinde Atanan Kadrolu/Sözleşmeli Öğretmenin Evrakları Dijital Ortamda Alınacaktır. ,/2019-subat-ayi-icerisinde-atanan-kadrolusozlesmeli-ogretmenin-evraklari-dijital-ortamda-alinacaktir/duyuru/18015,12/02/2019
2019 Yılı E-Talep Modülü Taşınır Taleplerinin Uzatılması ,/2019-yili-e-talep-modulu-tasinir-taleplerinin-uzatilmasi/duyuru/18006,11/02/2019
Sözleşmeli Öğretmen Atama Sonuçları ,http://atama.meb.gov.tr/?islemID=245,08/02/2019
Sınavla Öğrenci Alacak Ortaöğretim Kurumlarına İlişkin Merkezî Sınava Yönelik Ocak Ayı Örnek Soruları Yayımlandı ,http://odsgm.meb.gov.tr/www/sinavla-ogrenci-alacak-ortaogretim-kurumlarina-iliskin-merkez-sinava-yonelik-ocak-ayi-ornek-sorulari-yayimlandi/icerik/436,30/01/2019
Yurt Dışında Görevlendirilecek Öğretim Üyesi/Öğretim Görevlisi/Okutman Seçme Sınavı (2019) Başvuru Sonuçları ,http://abdigm.meb.gov.tr/ABDIGM/Sinav/okutman_08012019/okutman_Sonuc.aspx,08/01/2019
2019 yılı Bilsem Öğretmen Seçme ve Atama Kılavuzu Yayımlandı. ,http://orgm.meb.gov.tr/www/2019-yili-bilsem-ogretmen-secme-ve-atama-kilavuzu-yayimlandi/icerik/1138,11/01/2019
Bilgi İşlem Dairesi Başkanlığı Altyapı Çalışmaları ,/bilgi-islem-dairesi-baskanligi-altyapi-calismalari/duyuru/17788,04/01/2019
9 Aralık 2018 Adaylık Kaldırma Sınav Sonuç Duyurusu ,http://oygm.meb.gov.tr/www/9-aralik-2018-adaylik-kaldirma-sinav-sonuc-duyurusu/icerik/709,31/12/2018
2019 YILINDA YAPILACAK  ÖĞRETMENLİK ALAN BİLGİSİ TESTİ (ÖABT) DUYURUSU ,http://oygm.meb.gov.tr/www/2019-yilinda-yapilacak-ogretmenlik-alan-bilgisi-testi-oabt-duyurusu/icerik/706,28/12/2018
2018 YLSY  Kurum Kontenjanlarına Yerleşmeye Hak Kazanan Adayların Belge Teslimi Hakkında Duyuru ,https://yyegm.meb.gov.tr/www/2018-ylsy-kurum-kontenjanlarina-yerlesmeye-hak-kazanan-adaylarin-belge-teslimi-hakkinda-duyuru/icerik/364,27/12/2018
2018 YLSY - Kurum Kontenjanları Tercih Sonuçları Açıklanmıştır ,https://yyegm.meb.gov.tr/www/2018-ylsy-kurum-kontenjanlari-tercih-sonuclari-aciklanmistir/icerik/360,19/12/2018
2019 Yılı Engelli Öğretmen Atama  Duyurusu ,http://personel.meb.gov.tr/www/2019-yili-engelli-ogretmen-atama-duyurusu/icerik/899,12/12/2019
"2019  Yarıyıl Tatili  Kadrolu Öğretmenlerin Aile Birliği, Sağlık, Can Güvenliği Mazeretleri Ve Engellilik Durumu İle Diğer Nedenlere Bağlı Yer Değiştirme Duyurusu ",http://personel.meb.gov.tr/www/2019-yariyil-tatili-kadrolu-ogretmenlerin-aile-birligi-saglik-can-guvenligi-mazeretleri-ve-engellilik-durumu-ile-diger-nedenlere-bagli-yer-degistirme-duyurusu/icerik/898,12/12/2019
Bakan Yardımcımız Mahmut ÖZER İstanbul´da Mesleki ve Teknik Ortaöğretim Kurumlarını Ziyaret etti ,http://mtegm.meb.gov.tr/www/bakan-yardimcimiz-mahmut-ozer-istanbulda-mesleki-ve-teknik-ortaogretim-kurumlarini-ziyaret-etti/icerik/2244,25/12/2018
UNESCO Raporları ,/unesco-raporlari/duyuru/17390,07/11/2018
2018 YLSY - Sözlü Sınavda Başarılı Olan Adayların Kurum Tercihlerinin Alınması (Yerleştirme İşlemleri) ,http://yyegm.meb.gov.tr/www/2018-ylsy-sozlu-sinavda-basarili-olan-adaylarin-kurum-tercihlerinin-alinmasi-yerlestirme-islemleri/icerik/358,14/12/2018
2018 Yılı İl İçi Alan Değişikliği Atama Duyurusu ,http://personel.meb.gov.tr/www/2018-yili-il-ici-alan-degisikligi-atama-duyurusu/icerik/895,12/12/2019
Millî Eğitim Bakanlığı 2018 Yılı İl-İlçe Millî Eğitim Müdürlükleri 513 Şube Müdürü Kadrosuna Görevde Yükselme Suretiyle Atama Sonuçları ,http://personel.meb.gov.tr/www/mill-egitim-bakanligi-2018-yili-il-ilce-mill-egitim-mudurlukleri-513-sube-muduru-kadrosuna-gorevde-yukselme-suretiyle-atama-sonuclari/icerik/893,30/11/2018
Yurt Dışında Görevlendirilecek Öğretmenleri Seçme Sınavı Başvuru Kılavuzu 2019 ,http://abdigm.meb.gov.tr/www/yurt-disinda-gorevlendirilecek-ogretmenleri-secme-sinavi-basvuru-kilavuzu-2019/icerik/1088,30/11/2018
2018 YLSY - Yurt Dışına Lisansüstü Öğrenim Görmek Üzere Gönderilecek Öğrencilerin Sözlü Sınav Sonuçları Açıklanmıştır. ,http://yyegm.meb.gov.tr/www/2018-ylsy-yurt-disina-lisansustu-ogrenim-gormek-uzere-gonderilecek-ogrencilerin-sozlu-sinav-sonuclari-aciklanmistir/icerik/348,23/11/2018
"Engelli, Hükümlü/Tmy İşçi Alımı Başarılı Olan Aday Listesi ",http://dhgm.meb.gov.tr/www/engelli-hukumlutmy-isci-alimi-basarili-olan-aday-listesi/icerik/412,23/11/2018
Sözleşmeli Öğretmenliğe Başvuru ve Atama Duyurusu ,http://personel.meb.gov.tr/www/sozlesmeli-ogretmenlige-basvuru-ve-atama-duyurusu/icerik/888,12/12/2019
 Yurt Dışında Görevlendirilecek Öğretim Üyesi/Öğretim Görevlisi/Okutman Seçme Sınavı Başvuru Kılavuzu -2019 ,http://abdigm.meb.gov.tr/www/yurt-disinda-gorevlendirilecek-ogretim-uyesiogretim-gorevlisiokutman-secme-sinavi-basvuru-kilavuzu-2019/icerik/1084,16/11/2018
Millî Eğitim Bakanlığı 2018 Yılı İl-İlçe Millî Eğitim Müdürlükleri 513 Şube Müdürü Kadrosuna Görevde Yükselme Suretiyle Atama Başvuru Duyurusu ,http://personel.meb.gov.tr/www/mill-egitim-bakanligi-2018-yili-il-ilce-mill-egitim-mudurlukleri-513-sube-muduru-kadrosuna-gorevde-yukselme-suretiyle-atama-basvuru-duyurusu/icerik/886,13/11/2018
Çarşı ve Mahalle Bekçiliği Yazılı Sınavı Bilgilendirme Duyurusu ,https://www.pa.edu.tr/1c2a0c2a0-c2a0donem-carsi-ve-mahalle-bekciligi-yazili-sinavina-katilan-adaylarin-dikkatine-duyurular.html,22/10/2018
Adaylık Kaldırma Kılavuzu (AKS) (9 Aralık 2018) Yayımlandı ,http://oygm.meb.gov.tr/www/adaylik-kaldirma-kilavuzu-aks-9-aralik-2018-yayimlandi/icerik/690,06/11/2018
Bakanlığımız bünyesinde sözleşmeli öğretmen olarak çalışanlardan eşleri sözleşmeli öğretmen olanların eş birlikteliğinin sağlanmasına ilişkin duyuru ,http://personel.meb.gov.tr/www/bakanligimiz-bunyesinde-sozlesmeli-ogretmen-olarak-calisanlardan-esleri-sozlesmeli-ogretmen-olanlarin-es-birlikteliginin-saglanmasina-iliskin-duyuru/icerik/879,10/10/2018
2018 YLSY - Yurt Dışında Lisansüstü Öğrenim Görmek Üzere Sözlü Sınava Girmeye Hak Kazanan Adayların Sözlü Sınav Giriş Belgeleri Yayımlanmıştır. ,http://yyegm.meb.gov.tr/www/2018-ylsy-yurt-disinda-lisansustu-ogrenim-gormek-uzere-sozlu-sinava-girmeye-hak-kazanan-adaylarin-sozlu-sinav-giris-belgeleri-yayimlanmistir/icerik/340,11/10/2018
Millî Eğitim Bakanlığı Taşra Teşkilatı Şube Müdürlüğü Görevde Yükselme Sözlü Sınavı Sonuçlarına İlişkin Duyuru ,http://personel.meb.gov.tr/www/mill-egitim-bakanligi-tasra-teskilati-sube-mudurlugu-gorevde-yukselme-sozlu-sinavi-sonuclarina-iliskin-duyuru/icerik/878,10/10/2018
Millî Eğitim Bakanlığı Personeli Merkez ve Taşra Teşkilatı Görevde Yükselme Yazılı Sınav Duyurusu ,http://personel.meb.gov.tr/www/mill-egitim-bakanligi-personeli-merkez-ve-tasra-teskilati-gorevde-yukselme-yazili-sinav-duyurusu/icerik/877,10/10/2018
2018-2019 Eğitim-Öğretim Yılı Öğretmenlik Bursu Sonuçları ,http://www.meb.gov.tr/sinavlar/sonuc/sorgu.php?SINAV_ID=F936F0807C19C6C3F9C3363E1018F94D,01/10/2018
Sözleşmeli Öğretmenlerin Sağlık Mazeretine Bağlı Yer Değiştirme İşlemlerine İlişkin Duyuru ,http://personel.meb.gov.tr/www/sozlesmeli-ogretmenlerin-saglik-mazeretine-bagli-yer-degistirme-islemlerine-iliskin-duyuru/icerik/876,09/10/2018
2019-2023 Stratejik Planı Genelgesi Yayınlanmıştır ,http://sgb.meb.gov.tr/www/2019-2023-stratejik-plani-genelgesi-yayinlanmistir/icerik/329,19/09/2018
Millî Eğitim Bakanlığı 2019-2023 Stratejik Plan Paydaş Anketi Yayınlanmıştır ,http://sgb.meb.gov.tr/www/mill-egitim-bakanligi-2019-2023-stratejik-plan-paydas-anketi-yayinlanmistir/icerik/330,25/09/2018
2018 YLSY - Sözlü Sınava Çağrılmaya Hak Kazanan Adayların Listesi ,https://yyegm.meb.gov.tr/www/2018-ylsy-sozlu-sinava-cagrilmaya-hak-kazanan-adaylar-aciklanmistir/icerik/338,19/09/2018
Bakanlığımıza Bağlı Resmî Eğitim Kurumlarında Ek Ders Ücreti Karşılığında Görev Yapanların Sözleşmeli Öğretmenlik İçin 2018 Eylül Ayı Başvuru Ve Atama Duyurusu ,http://personel.meb.gov.tr/www/bakanligimiza-bagli-resm-egitim-kurumlarinda-ek-ders-ucreti-karsiliginda-gorev-yapanlarin-sozlesmeli-ogretmenlik-icin-2018-eylul-ayi-basvuru-ve-atama-duyurusu/icerik/870,18/09/2018
"2018 Yılı Yaz Tatili Kadrolu Öğretmenlerin Aile Birliği, Sağlık, Can Güvenliği Mazeretleri Ve Engellilik Durumu İle Diğer Nedenlere Bağlı 2.Ek Yer Değiştirme Sonuçları ",http://atama.meb.gov.tr/?islemID=237,14/09/2018
Görevde Yükselme Sınavı Hakkında ,http://personel.meb.gov.tr/www/gorevde-yukselme-sinavi-hakkinda/icerik/868,13/09/2018
Bakanlığımıza Bağlı Resmî Eğitim Kurumlarında Ek Ders Ücreti Karşılığında Görev Yapanların Sözleşmeli Öğretmenlik Atama Sonuçları ,http://atama.meb.gov.tr/?islemID=236,11/09/2018
"2018 Yılı Yaz Tatili Kadrolu Öğretmenlerin Aile Birliği, Sağlık, Can Güvenliği Mazeretleri Ve Engellilik Durumu İle Diğer Nedenlere Bağlı Ek Yer Değiştirme Sonuçları ",http://atama.meb.gov.tr/?islemID=235,10/09/2018
Millî Eğitim İstatistikleri Örgün Eğitim 2017-2018 ,http://sgb.meb.gov.tr/www/icerik_goruntule.php?KNO=327,07/09/2018
2018-2019 Öğretim Yılı Destekleme ve Yetiştirme Kursları e-Kılavuzu ,http://www.meb.gov.tr/meb_iys_dosyalar/2018_09/05111501_DYK_e_kilavuz.pdf,04/09/2018
Öğretmenlerin 2018 Eylül Dönemi Mesleki Çalışma Programı ,http://oygm.meb.gov.tr/www/ogretmenlerin-2018-eylul-donemi-mesleki-calisma-programi/icerik/674,31/08/2018
"2018 Yılı Yaz Tatili Kadrolu Öğretmenlerin Aile Birliği, Sağlık, Can Güvenliği Mazeretleri Ve Engellilik Durumu İle Diğer Nedenlere Bağlı Yer Değiştirme Sonuçları ",http://personel.meb.gov.tr/www/2018-yili-yaz-tatili-kadrolu-ogretmenlerin-aile-birligi-saglik-can-guvenligi-mazeretleri-ve-engellilik-durumu-ile-diger-nedenlere-bagli-yer-degistirme-sonuclari/icerik/856,17/08/2018
Sözleşmeli Öğretmenlerin Sağlık Mazeretine Bağlı Yer Değiştirmelerine İlişkin Duyuru ,http://personel.meb.gov.tr/www/sozlesmeli-ogretmenlerin-saglik-mazeretine-bagli-yer-degistirmelerine-iliskin-duyuru/icerik/850,03/08/2018
Öğretmenlerin 2018 Eylül Dönemi Mesleki Çalışma Programı ,http://oygm.meb.gov.tr/www/ogretmenlerin-2018-eylul-donemi-mesleki-calisma-programi/icerik/674,31/08/2018
2018-2019 Eğitim Ögretim Yılı Özel Okullarda Öğrenim Gören/Görecek Öğrenciler İçin Verilecek Eğitim ve Öğretim Desteği Uygulama e-Kılavuzu ,https://ookgm.meb.gov.tr/meb_iys_dosyalar/2018_08/16180149_2018-2019_egitim_ogretim_destegi_kilavuzu.pdf,16/08/2018
2018 YLSY BAŞVURU SÜRESİNİN UZATILMASI / BAŞVURU VE TERCİH KILAVUZU GÜNCELLENMESİ / LİSANS MEZUNİYET BİLGİSİNİN REBUS’A GİRİLMESİ  ,http://yyegm.meb.gov.tr/www/2018-ylsy-basvuru-suresinin-uzatilmasi-basvuru-ve-tercih-kilavuzu-guncellenmesi-lisans-mezuniyet-bilgisinin-rebusa-girilmesi/icerik/334,16/08/2018
Yerleştirmeye Esas Nakil Kılavuzu ,http://odsgm.meb.gov.tr/www/yerlestirmeye-esas-nakil-kilavuzu/icerik/334,05/09/2018
2018 YLSY Burs Başvuruları Hakkında Duyuru ,https://yyegm.meb.gov.tr/www/2018-ylsy-burs-basvurulari-hakkinda-duyuru/icerik/329,02/08/2018
24.07.2018 Tarihinde Atanan 20.000 Sözleşmeli Öğretmenin Evrakları Dijital Ortamda Alınacaktır ,/24072018-tarihinde-atanan-20000-sozlesmeli-ogretmenin-evraklari-dijital-ortamda-alinacaktir/duyuru/16904,31/07/2018
"2018 Yerel Yerleştirme ve Pansiyonlu Okullar, Yerleştirmeye Esas 1. Nakil Başvuruları Tercih Listeleri ",/2018-yerel-yerlestirme-ve-pansiyonlu-okullar-yerlestirmeye-esas-1-nakil-basvurulari-tercih-listeleri/duyuru/16892,30/07/2018
"2018 Yılı Merkezi Sınav Puanı İle Öğrenci Alan Ortaöğretim Kurumları, Yerleştirmeye Esas 1. Nakil Başvuruları Tercih Listeleri ve Taban Puanları ",/2018-yili-merkezi-sinav-puani-ile-ogrenci-alan-ortaogretim-kurumlari-yerlestirmeye-esas-1-nakil-basvurulari-tercih-listeleri-ve-taban-puanlari/duyuru/16891,30/07/2018
2018 Temmuz Sözleşmeli İlk Atama Sonuçları ,http://atama.meb.gov.tr/,24/07/2018
Bakanlığımıza Bağlı Resmî Eğitim Kurumlarında Ek Ders Ücreti Karşılığında Görev Yapanların Sözleşmeli Öğretmenlik Başvuruları ile İle ilgili Duyuru ,http://personel.meb.gov.tr/www/bakanligimiza-bagli-resm-egitim-kurumlarinda-ek-ders-ucreti-karsiliginda-gorev-yapanlarin-sozlesmeli-ogretmenlik-basvurulari-ile-ile-ilgili-duyuru/icerik/844,12/12/2019
İngilizce Konuşulan Ülkeler Grubu ve Batı Trakya´da Görevlendirilecek Öğretmenlerin Sınav Sonuçları 2018 ,http://abdigm.meb.gov.tr/ABDIGM/Sinav/ogretmen_ing_06072018/ogretmen_Sonuc.aspx,10/07/2018
Yurt Dışı Göreve Uyum Seminerine ilişkin Duyuru ,http://abdigm.meb.gov.tr/www/yurt-disi-goreve-uyum-seminerine-iliskin-duyuru/icerik/1054,13/07/2018
Mısır Arap Cumhuriyeti Hükümeti  tarafından 2018-2019 Öğretim Yılı Burs Tahsis Edilmektedir ,http://abdigm.meb.gov.tr/www/yabanci-hukumet-burslari/icerik/246,13/07/2018
Tematik Liseler Tanıtım Filmi ,http://www.meb.gov.tr/meb_iys_dosyalar/2018_07/06101043_tematikuzun.mp4,06/07/2018
Almanca ve Fransızca Konuşulan Ülkelerde Görevlendirilecek Öğretmenlerin Sınav Sonuçları 2018  ,http://abdigm.meb.gov.tr/ABDIGM/Sinav/ogretmen_alm_06072018/ogretmen_Sonuc.aspx,10/07/2018
Yurt Dışında Görevlendirilecek Öğretim Üyesi/Öğretim Görevlisi/Okutman  Sınav Sonuçları  2018 ,http://abdigm.meb.gov.tr/ABDIGM/Sinav/okutman_100718/okutman_Sonuc.aspx,10/07/2018
Mesleki ve Teknik Anadolu Liseleri ile İlgili Duyuru ,http://mtegm.meb.gov.tr/www/sevgili-ogrencilerimiz-degerli-velilerimiz/icerik/2086,02/07/2018
"2018 Merkezi Yerleşirme, Yerel Yerleştirme ve Pansiyonlu Okullar Tercih Başvuru Giriş Ekranı ",/2018-merkezi-yerlesirme-yerel-yerlestirme-ve-pansiyonlu-okullar-tercih-basvuru-giris-ekrani/duyuru/16723,02/07/2018
"2018 Merkezi Yerleşirme, Yerel Yerleştirme ve Pansiyonlu Okullar Tercih Listeleri ",/2018-merkezi-yerlesirme-yerel-yerlestirme-ve-pansiyonlu-okullar-tercih-listeleri/duyuru/16722,02/07/2018
Öğretmenlik Mesleği Genel Yeterlikleri Belgesinin İngilizcesi Yayımlandı ,http://oygm.meb.gov.tr/www/ogretmenlik-meslegi-genel-yeterlikleri-belgesinin-ingilizcesi-yayimlandi/icerik/669,29/06/2018
2018 Yılı Ortaöğretime Geçiş Tercih Ve Yerleştirme Kılavuzu ,http://odsgm.meb.gov.tr/www/2018-yili-ortaogretime-gecis-tercih-ve-yerlestirme-kilavuzu/icerik/322,29/06/2018
 Uygulama Öğrencilerinin Millî Eğitim Bakanlığına Bağlı Eğitim Öğretim Kurumlarında Yapacakları Öğretmenlik Uygulamasına İlişkin Yönerge ,http://oygm.meb.gov.tr/www/uygulama-ogrencilerinin-mill-egitim-bakanligina-bagli-egitim-ogretim-kurumlarinda-yapacaklari-ogretmenlik-uygulamasina-iliskin-yonerge/icerik/668,13/07/2020
Öğretmenlerin 2018 Haziran Dönemi Mesleki Çalışma Programı ,https://oygm.meb.gov.tr/www/ogretmenlerin-2018-haziran-donemi-mesleki-calisma-programi/icerik/661,05/06/2018
Yurt Dışında Görevlendirilecek Öğretim Üyesi/Öğretim Görevlisi/Okutmanların Temsil Yeteneği Mülakatı Programı-2018 ,http://abdigm.meb.gov.tr/abdigm/sinav/okutman_mulakat_2018/okutman_sonuc.aspx,08/06/2018
"Almanca, Fransızca ve İtalyanca Konuşulan Ülkelerde Görevlendirilecek Öğretmenlerin Mülakat Programı 2018 ",http://abdigm.meb.gov.tr/abdigm/sinav/ogretmen2_2018/ogretmen_sonuc.aspx,06/06/2018
Ortaöğretim Kurumları Merkezî Sınav 2018´in soru ve çözümleri EBA´da ,http://yegitek.meb.gov.tr/www/ortaogretim-kurumlari-merkez-sinav-2018in-soru-ve-cozumleri-ebada/icerik/1679,06/06/2018
Öğretmen Strateji Belgesinin İngilizcesi Yayımlandı ,http://oygm.meb.gov.tr/www/ogretmen-strateji-belgesinin-ingilizcesi-yayimlandi/icerik/663,25/05/2018
Trafik Genel Eğitim Planı (Kitap) ,http://ookgm.meb.gov.tr/meb_iys_dosyalar/2018_05/02150850_01_Trafik_Eylem_PlanY.pdf,04/05/2018
"""Özel Eğitim ve Rehberlik Hizmetleri Materyal ve Etkinlik Yarışması"" Başvuruları Devam Ediyor. ",http://orgm.meb.gov.tr/www/ozel-egitim-ve-rehberlik-hizmetleri-materyal-ve-etkinlik-yarismasi-basvurulari-basladi/icerik/1045,22/05/2018
2018 Yılı Öğretmenler Günü Genelgesi Yayınlandı ,http://oygm.meb.gov.tr/www/2018-yili-ogretmenler-gunu-genelgesi-yayinlandi/icerik/656,03/08/2018
Yurt Dışında Görevlendirilecek Öğretim Üyesi/ Öğretim Görevlisi/ Okutmanların Başvuru Sonuçları ,http://abdigm.meb.gov.tr/abdigm/sinav/okutman_2018/okutman_sonuc.aspx,17/04/2018
 Yurt Dışında Görevlendirilecek Öğretim Üyesi/Öğretim Görevlisi/Okutman Seçme ve Görevlendirme Kılavuzunda-2018 Değişiklik Yapılması Hakkında Duyuru ,http://abdigm.meb.gov.tr/www/yurt-disinda-gorevlendirilecek-ogretim-uyesiogretim-gorevlisiokutman-secme-ve-gorevlendirme-kilavuzunda-2018-degisiklik-yapilmasi-hakkinda-duyuru/icerik/1013,17/04/2018
"Almanca, Fransızca ve İtalyanca Konuşulan Ülkelerde Görevlendirilecek Öğretmenleri Seçme Sınavı Kılavuzunda (2018) Değişiklik Yapılması Hakkında Duyuru ",http://abdigm.meb.gov.tr/www/almanca-fransizca-ve-italyanca-konusulan-ulkelerde-gorevlendirilecek-ogretmenleri-secme-sinavi-kilavuzunda-2018-degisiklik-yapilmasi-hakkinda-duyuru/icerik/1012,17/04/2018
2018 Yılı Devlet Yatırım Programı Detay Dağılımı ,http://sgb.meb.gov.tr/www/2018-yili-devlet-yatirim-programi-detay-dagilimi/icerik/315,13/04/2018
Sınavla Öğrenci Alacak Ortaöğretim Kurumlarına İlişkin Merkezî Sınav Başvuru ve Uygulama Kılavuzu ,http://www.meb.gov.tr/sinavlar/dokumanlar/2018/MERKEZI_SINAV_BASVURU_VE_UYGULAMA_KILAVUZU.pdf,10/04/2018
Okul Öncesi Eğitim ve İlköğretim Kurumları Standartları Sistemi Öğrenci ve Veli Girişleri ,/okul-oncesi-egitim-ve-ilkogretim-kurumlari-standartlari-sistemi-ogrenci-ve-veli-girisleri/duyuru/16118,09/04/2018
İngilizce Konuşulan Ülkeler Grubu ve Batı Trakya´da Görevlendirilecek Öğretmenlerin Temsil Yeteneği Mülakat Programı 2018 ,http://abdigm.meb.gov.tr/abdigm/sinav/ogretmen_eng_2018/ogretmen_sonuc.aspx,06/04/2018
Ortaöğretime Geçiş Yönergesi ,http://www.meb.gov.tr/meb_iys_dosyalar/2018_03/26191912_yonerge.pdf,26/03/2018
"""Bir Düşün Sen"" Millî Ulaşım Teknolojilerine Yönelik Tasarım Yarışması ",http://tegm.meb.gov.tr/www/bir-dusun-sen-mill-ulasim-teknolojilerine-yonelik-tasarim-yarismasi/icerik/508,27/03/2018
Sözleşmeli Bilişim Personeli Sözlü Sınavına İlişkin Duyuru ,http://ikgm.meb.gov.tr/www/sozlesmeli-bilisim-personeli-sozlu-sinavina-iliskin-duyuru/icerik/803,14/03/2018
Uluslararası Yarışmalarda Derece Alan  Öğrenciler ,http://ogm.meb.gov.tr/www/uluslararasi-yarismalarda-derece-alan-ogrenciler/icerik/703,14/03/2018
 Bilim ve Sanat Merkezleri Grup Tarama Uygulama Sonuçları Hakkında Duyuru ,/bilim-ve-sanat-merkezleri-grup-tarama-uygulama-sonuclari-hakkinda-duyuru/duyuru/15855,09/03/2018
2018 Mart Sözleşmeli Öğretmenlik Başvurusu ,http://ikgm.meb.gov.tr/www/2018-mart-sozlesmeli-ogretmenlik-basvurusu/icerik/799,02/03/2018
"""MEB 2017 Yılı İdare Faaliyet Raporu"" yayınlanmıştır ",http://sgb.meb.gov.tr/www/quotmeb-2017-yili-idare-faaliyet-raporuquot-yayinlanmistir/icerik/290,28/02/2018
